,Lang_agent,Round,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,SC9,SC10,SC11,SC12,SC13,SC14,SC15,SC16,SC17,SC18,SC19,SC20,SC21,SC22,BFI1,BFI2,BFI3,BFI4,BFI5,BFI6,BFI7,BFI8,BFI9,BFI10,BFI11,BFI12,BFI13,BFI14,BFI15,BFI16,BFI17,BFI18,BFI19,BFI20,BFI21,BFI22,BFI23,BFI24,BFI25,BFI26,BFI27,BFI28,BFI29,BFI30,BFI31,BFI32,BFI33,BFI34,BFI35,BFI36,BFI37,BFI38,BFI39,BFI40,BFI41,BFI42,BFI43,BFI44,BFI45,BFI46,BFI47,BFI48,BFI49,BFI50,BFI51,BFI52,BFI53,BFI54,BFI55,BFI56,BFI57,BFI58,BFI59,BFI60,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31,H32,H33,H34,H35,H36,H37,H38,H39,H40,H41,H42,H43,H44,H45,H46,H47,H48,H49,H50,H51,H52,H53,H54,H55,H56,H57,H58,H59,H60,H61,H62,H63,H64,H65,H66,H67,H68,H69,H70,H71,H72,H73,H74,H75,H76,H77,H78,H79,H80,H81,H82,H83,H84,H85,H86,H87,H88,H89,H90,H91,H92,H93,H94,H95,H96,H97,H98,H99,H100,SD1,SD2,SD3,SD4,SD5,SD6,SD7,SD8,SD9,SD10,SD11,SD12,SD13,SD14,SD15,SD16,SD17,SD18,SD19,SD20,SD21,SD22,SD23,SD24,SD25,SD26,SD27,BIMI1,BIMI2,BIMI3,BIMI4,BIMI5,BIMI6,BIMI7,BIMI8,BIMI9,BIMI10,BIMI11,BIMI12,BIMI13,BIMI14,BIMI15,BIMI16,BIMI17,BIMI18,BIMI19,BIMI20,right.left,cons.prog,religion
0,<SQ0LruF>,1,2,2,2,3,2,3,1,0,1,2,0,3,2,3,1,2,3,2,3,2,3,1,5,2,4,5,4,5,2,4,5,4,5,2,4,5,4,5,2,4,5,3,5,2,4,5,4,5,2,4,5,4,5,2,4,5,4,5,2,4,5,4,4,2,4,5,4,5,2,4,5,4,1,4,2,1,2,2,4,2,1,2,4,4,5,4,2,5,3,4,4,5,2,5,5,4,4,5,4,5,5,4,4,3,4,5,4,4,5,3,5,5,3,4,5,2,3,5,3,5,4,4,3,5,4,4,5,4,4,5,3,4,5,5,2,5,4,5,4,3,1,5,3,4,5,4,4,5,2,5,5,4,4,5,4,4,5,5,1,5,4,5,4,4,3,5,4,2,4,2,5,5,4,4,4,5,4,5,5,5,5,4,2,3,2,1,5,4,2,3,1,2,5,2,5,4,4,3,4,1,2,4,4,4,2,4,3,2,1,3,7,1,7,3,1,1,1,7,3,7,7,1,1,1,7,1,7,7,1,7,5,3
1,<SQ0LruF>,2,2,2,2,2,2,1,1,0,1,2,1,2,2,2,1,2,2,2,2,2,2,1,5,4,3,5,4,5,3,3,5,4,4,3,4,5,3,4,3,4,5,2,5,2,4,5,4,4,2,4,5,3,4,2,4,5,4,4,2,4,5,3,4,3,4,5,4,4,3,4,4,5,2,3,2,1,2,2,4,2,1,2,4,4,5,4,2,5,4,5,4,5,2,5,5,5,4,5,4,5,5,5,4,4,4,5,4,5,5,4,4,5,4,5,5,4,2,5,4,4,4,4,2,4,4,5,5,4,4,5,4,4,4,4,2,5,4,5,5,4,1,5,4,5,4,4,4,4,2,5,5,4,4,5,4,4,4,4,1,5,4,5,5,4,2,5,4,4,4,4,4,4,4,4,4,1,4,5,5,5,5,4,5,3,2,1,4,4,2,3,1,4,4,1,5,3,4,3,4,1,1,4,4,3,2,4,4,2,1,2,7,1,7,2,1,1,1,7,2,7,7,1,1,1,7,1,7,7,1,7,5,3
2,<yLvzAov>,1,2,2,2,2,2,1,1,0,2,2,2,2,2,2,2,2,2,2,2,2,3,2,5,3,3,4,4,4,4,4,4,3,4,1,4,4,3,4,1,4,4,3,5,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,1,4,4,4,5,4,4,4,5,4,4,4,4,5,2,5,2,2,3,2,5,2,2,2,4,2,5,4,4,3,4,5,3,4,4,5,4,4,3,4,4,5,3,3,3,4,4,4,4,5,5,4,2,5,4,5,4,4,2,5,4,4,4,4,2,4,4,4,4,4,4,5,4,4,2,4,4,3,4,3,4,4,2,5,4,5,2,4,4,4,3,4,4,2,4,2,4,4,2,4,2,5,4,4,4,2,4,5,4,5,2,4,2,4,4,3,3,2,2,2,5,5,5,5,4,2,4,4,3,4,4,4,3,3,4,4,2,4,4,3,3,4,3,3,2,3,3,3,3,2,3,3,6,4,6,3,2,2,4,5,5,2,6,3,2,2,6,6,6,6,2,5,2,4
3,<yLvzAov>,2,2,2,2,2,1,2,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,3,4,4,4,5,3,4,4,3,4,1,4,4,3,4,2,4,4,3,5,3,5,4,4,4,4,5,4,4,4,1,4,4,3,4,2,4,4,3,5,3,4,4,5,4,3,5,4,5,2,5,2,2,3,2,4,2,2,3,4,2,5,3,4,2,5,4,3,4,4,4,3,4,3,2,4,5,2,3,3,4,4,3,4,4,5,4,2,4,5,4,4,4,2,4,5,2,4,4,2,4,5,2,5,4,4,4,5,2,2,3,4,3,4,2,4,4,2,5,4,4,2,4,4,4,3,4,3,2,4,3,5,3,2,3,2,4,4,3,4,2,5,3,3,4,2,4,2,4,3,2,2,3,1,3,5,5,5,3,4,2,2,3,3,3,4,4,3,3,3,3,2,4,3,3,2,3,2,2,2,2,3,4,3,3,3,3,5,4,6,3,4,4,3,4,5,2,6,2,1,3,3,2,5,4,3,5,2,4
4,<aZVmWg7>,1,3,2,1,3,2,2,1,0,2,2,3,3,2,3,1,2,3,2,3,2,3,1,5,3,5,5,4,5,3,5,5,4,4,2,4,5,3,5,2,5,5,3,5,3,5,5,4,5,3,5,5,4,4,2,4,3,5,4,1,4,5,4,5,3,5,5,5,5,3,5,5,5,1,4,2,1,1,1,4,1,1,2,5,4,5,4,3,4,5,4,3,4,3,5,4,5,3,4,4,5,3,4,4,4,5,5,4,4,4,4,3,4,5,5,5,3,3,5,4,4,4,4,4,4,5,4,5,5,5,5,5,4,4,4,3,4,4,4,5,3,2,5,5,5,3,4,4,4,5,4,4,4,5,5,5,4,3,4,1,5,4,4,4,4,3,5,5,4,4,4,3,4,4,4,3,3,4,5,5,5,5,5,5,1,2,2,1,1,2,1,1,4,4,3,1,3,4,1,3,3,1,2,1,1,1,1,2,1,1,4,6,1,7,3,5,3,4,5,6,5,6,3,4,4,5,4,6,5,3,6,3,2
5,<aZVmWg7>,2,3,2,2,3,2,1,2,0,1,2,1,2,3,3,2,3,2,3,3,2,3,2,5,4,5,5,4,5,4,5,5,4,4,2,4,5,4,5,2,5,5,4,5,4,5,5,4,5,4,5,5,4,5,2,4,4,4,5,1,4,5,4,5,4,5,5,4,5,4,5,5,4,1,5,2,2,2,1,4,2,2,2,4,4,4,4,4,3,5,5,3,3,3,5,4,5,3,4,4,5,4,3,3,4,4,4,4,5,4,4,4,5,5,5,4,3,2,5,5,4,4,4,2,4,4,4,4,4,4,5,4,4,3,4,2,4,4,4,4,3,2,5,5,5,3,4,4,4,4,4,4,4,4,4,5,4,3,4,2,5,4,4,4,3,2,5,4,4,3,3,4,4,4,4,2,4,4,4,5,5,5,4,4,2,3,4,2,2,4,2,2,4,4,4,2,4,4,2,3,4,1,2,1,2,2,2,2,1,2,5,6,2,7,4,3,4,3,6,5,5,6,4,4,5,3,2,6,5,3,4,3,2
6,<xWY2na4>,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,5,1,5,3,5,5,1,5,3,5,1,5,1,5,1,1,5,1,5,1,5,1,5,3,5,5,1,5,3,5,1,5,1,5,1,1,5,1,5,1,5,1,5,3,5,5,1,5,3,5,5,1,5,1,5,5,1,5,1,1,1,3,3,5,5,5,5,3,5,3,1,5,1,3,5,1,1,3,1,5,5,5,1,5,1,3,3,5,1,1,5,3,5,5,1,5,5,5,5,5,1,3,5,5,5,5,1,5,5,5,3,1,5,5,1,5,5,5,1,1,5,3,5,5,1,3,5,5,5,1,1,1,5,5,3,1,1,1,1,5,5,1,5,5,1,3,5,5,1,3,1,5,1,1,1,3,5,5,5,5,5,1,3,5,1,1,3,1,1,5,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,7,1,7,1,1,7,1,1,7,1,1,1,7,7,7,7,1,3,2,1
7,<xWY2na4>,2,1,1,2,1,2,0,2,1,1,2,3,2,2,1,2,2,1,2,1,2,3,2,4,2,3,4,3,4,2,3,4,3,4,2,4,4,3,4,2,4,4,3,4,2,4,5,3,4,2,4,5,3,4,2,4,4,3,4,2,4,4,4,4,2,5,4,3,4,3,5,4,4,2,3,2,2,3,3,4,2,2,3,2,3,4,4,3,4,4,3,4,2,3,5,3,4,4,4,3,4,4,4,5,3,4,4,4,4,4,4,4,4,4,3,4,3,3,5,4,4,3,4,3,3,4,5,4,4,3,5,3,5,3,5,3,4,4,5,4,3,4,5,3,4,4,4,3,3,2,4,4,4,4,5,4,4,3,5,2,5,4,5,4,3,3,5,4,4,4,4,4,3,4,4,4,4,4,5,4,5,5,5,4,1,2,3,1,1,3,1,2,3,4,2,1,2,4,1,2,3,1,2,1,1,1,1,1,1,1,3,7,2,7,3,4,2,3,6,4,3,6,2,2,3,2,5,6,5,2,6,3,3
8,<23R1qYZ>,1,0,3,0,0,0,0,0,3,0,0,1,0,0,2,0,0,3,0,0,0,3,0,3,3,5,5,3,3,3,5,5,3,3,1,5,5,3,3,1,5,5,2,5,3,5,5,3,3,3,5,5,3,3,1,5,5,3,3,1,5,5,3,3,3,5,5,3,3,1,5,5,3,3,5,1,1,3,3,5,1,1,3,3,3,5,3,3,5,5,3,5,1,3,5,3,5,5,3,3,3,4,5,5,3,3,5,3,5,5,3,3,5,5,3,5,1,1,5,3,5,5,3,1,3,3,5,5,3,3,5,3,5,3,3,3,5,3,5,5,1,1,5,3,5,5,1,3,3,1,5,5,3,3,5,3,5,3,5,1,5,3,5,5,1,3,5,1,5,5,1,1,3,3,5,5,3,3,5,5,3,5,5,3,1,3,4,1,1,3,3,3,3,1,3,1,3,3,3,1,3,1,1,1,1,1,1,1,1,1,3,6,1,7,2,0,1,0,3,2,0,7,0,0,1,7,7,7,7,0,5,3,2
9,<23R1qYZ>,2,2,3,2,0,2,0,1,0,2,2,0,2,2,1,2,3,2,2,2,3,2,1,4,3,4,3,2,4,3,3,5,2,4,3,4,5,2,3,3,4,5,2,5,3,4,4,2,4,3,4,4,2,4,2,5,5,3,4,3,5,5,4,4,3,4,4,3,4,2,4,4,3,2,4,1,2,3,2,3,1,2,3,3,4,4,4,5,5,4,4,3,4,3,5,3,4,3,4,3,3,4,5,4,3,3,4,3,4,4,4,1,1,4,4,4,2,3,5,2,4,4,2,3,4,4,4,4,4,3,4,4,3,4,3,1,5,3,3,4,2,3,1,4,4,3,4,3,4,3,4,4,3,4,5,4,4,3,5,5,1,3,4,4,4,3,5,4,4,3,4,3,4,4,4,4,3,3,5,4,4,5,5,3,1,3,4,1,2,3,3,2,2,2,3,3,3,2,3,3,3,3,2,2,1,2,3,2,1,2,3,6,2,7,4,2,1,3,6,1,3,6,1,1,2,1,1,6,7,1,5,3,6
